epoch,train_loss,train_r2,val_loss,val_r2
1,6.553847545297151,-0.9496957,1.0001014726502555,0.7016419
2,0.944956856852606,0.7193608,0.8378685116767883,0.7497754
3,0.6542742612750031,0.80558693,0.8712559654599145,0.739859
4,0.502272083473256,0.85074186,0.8385917601131258,0.74957925
5,0.42342728779633504,0.874408,0.7916355544612521,0.7634655
6,0.361432055054709,0.89254284,0.7746801397630146,0.7684277
7,0.31174102751636606,0.90742195,0.7546987157492411,0.7744967
8,0.2759966756715331,0.9182328,0.7215363865806943,0.784335
9,0.24182291533679842,0.9283984,0.7312979691085362,0.7815599
10,0.22270060749626058,0.9338343,0.7091545945122129,0.78817093
11,0.1962074139184982,0.9418337,0.6828602999448776,0.79598397
12,0.1848249559154848,0.9451005,0.6878251397893542,0.7944913
13,0.16802262043852131,0.950033,0.684936231800488,0.79532737
14,0.1559450160121313,0.953664,0.6641253523883366,0.80161107
15,0.14630403694938907,0.9566164,0.6609158416589102,0.8025166
16,0.14089455383083532,0.9581616,0.6701699438549223,0.7997563
17,0.13077688933867984,0.9612226,0.6638797592549097,0.8016188
18,0.12035981569651821,0.9642228,0.6627877759081977,0.8020146
19,0.11689519840066201,0.96530676,0.6589462969984327,0.80314523
20,0.10875116332766874,0.9678254,0.6457774135328475,0.80708045
21,0.10321745407190686,0.96932,0.6474584433294478,0.80657965
22,0.10147151912525139,0.97002053,0.6430934078636623,0.8078919
23,0.0930106164789099,0.9723546,0.6442998420624506,0.8075765
24,0.09182786792674226,0.9728379,0.640389255114964,0.8086324
25,0.08902117677316479,0.9735497,0.6376548501707259,0.80951166
26,0.08615848826870606,0.97442466,0.6322844809009915,0.8111121
27,0.08211792494321979,0.9756476,0.6304974719172433,0.81167734
28,0.07855490731355,0.9766623,0.6328603398232233,0.8109281
29,0.07386804716248088,0.9780586,0.6333728822923842,0.8107887
30,0.07225101007184065,0.9785725,0.6253258933623632,0.8131858
31,0.07065722021032085,0.9790163,0.6244817752213705,0.8134724
32,0.06849963894905424,0.9796973,0.6286644098304567,0.8122269
33,0.06578135249415613,0.98045886,0.6300608969870067,0.81181705
34,0.0655956007540226,0.98050994,0.6284506420294443,0.8123039
35,0.06240017777486029,0.9814914,0.6256420839400518,0.813131
36,0.062066543016417335,0.98157275,0.6224589638766789,0.814065
37,0.05875416164213583,0.98258847,0.6270707618622553,0.8127284
38,0.05801187483219717,0.98277617,0.6251589428810846,0.81328773
39,0.05669920012969169,0.98317754,0.6219740793818519,0.8142539
40,0.05563827209473916,0.9834701,0.6242415862424033,0.81357
41,0.05394397246755707,0.9839974,0.6237357805172602,0.8137106
42,0.05574614827936598,0.9834353,0.621681829293569,0.8143051
43,0.05351291925707403,0.98420376,0.6255566775798798,0.8131424
44,0.05281216837465763,0.98435265,0.6264272885663169,0.8128981
45,0.053231688271459764,0.9842181,0.6252666250580833,0.8132515
46,0.051723166713471394,0.984683,0.6237480207568123,0.81367165
47,0.04963741984304994,0.9852476,0.6220185302552723,0.81421864
48,0.05269605784537172,0.984428,0.6247729502973103,0.81338114
49,0.05157053517473047,0.9847707,0.6235846061082113,0.8137391
50,0.050867377540163586,0.9849292,0.6222987841992151,0.814111
