epoch,train_loss,train_r2,val_loss,val_r2,val_rmse,val_mae
1,4.473074461916368,-0.55614173412323,0.8882617442540719,0.6817638874053955,0.9424763892289673,0.7389364838600159
2,1.2248545096074934,0.5757265090942383,0.8658738768970768,0.6897847652435303,0.9305234424221008,0.7220210433006287
3,1.0882775258246085,0.6209466457366943,0.7365875837897522,0.7361040115356445,0.8582468082024844,0.6866597533226013
4,0.9806829939643256,0.6620231866836548,0.7975652996312336,0.7142575979232788,0.8930651150007112,0.7254221439361572
5,0.8932381032182158,0.6894435882568359,0.5787784130564114,0.7926419973373413,0.7607748767253105,0.5930997729301453
6,0.8518096980431097,0.7043527960777283,0.7424374237255922,0.7340081930160522,0.8616480857784065,0.6649327874183655
7,0.7159133369116475,0.7527734637260437,0.5780182476232971,0.7929143309593201,0.760275113115836,0.5916893482208252
8,0.6155671292929341,0.7866182327270508,0.5254048488356851,0.8117640614509583,0.7248481557096528,0.5444542169570923
9,0.5870552009386982,0.795887291431427,0.505798261693742,0.818788468837738,0.711194953366334,0.5461147427558899
10,0.4966032453578153,0.8283799886703491,0.6180168278849232,0.7785841226577759,0.7861404632029337,0.598411500453949
11,0.47772863099900936,0.8343256711959839,0.5090249978702291,0.8176324367523193,0.7134598782484052,0.5451644659042358
12,0.4446998924660168,0.8465331792831421,0.51163849047601,0.8166961073875427,0.7152890957340325,0.532560408115387
13,0.42840490023866834,0.8518385887145996,0.6481407644959326,0.7677916884422302,0.8050719002026667,0.6298115253448486
14,0.38561977135191716,0.8660340309143066,0.5738115106135722,0.7944214940071106,0.7575034723442343,0.576354444026947
15,0.3581351219750137,0.8755032420158386,0.5812812451363831,0.7917453050613403,0.7624180251911566,0.5757142305374146
16,0.3295814596491752,0.8853685259819031,0.5768075479282765,0.7933480739593506,0.7594784710103878,0.5880681872367859
17,0.3409708393134659,0.8816788196563721,0.559928943573589,0.7993952035903931,0.7482839992767378,0.5657110214233398
18,0.3034568677167241,0.8942388296127319,0.5110190734362633,0.8169180154800415,0.7148559809054291,0.5368818044662476
19,0.3064981337717111,0.893471360206604,0.5437316504544394,0.8051981925964355,0.7373816179255077,0.5702624917030334
20,0.2702417030608911,0.9058858752250671,0.5209037988195041,0.8133766651153564,0.7217366547567777,0.5471851229667664
21,0.2749647840643101,0.9041903614997864,0.5203285364961197,0.8135827779769897,0.7213380181968226,0.5454545617103577
