fold,fold_name,train_samples,val_samples,test_samples,best_val_loss,best_val_r2,final_train_loss,final_train_r2,final_val_loss,final_val_r2,test_loss,test_r2,test_rmse,test_mae,epochs_trained
1,fold_23,19949,3521,2601,0.5961007809171756,0.86510169506073,0.10706298668176317,0.975756049156189,0.5937127132572866,0.8656421303749084,0.7703847797134206,0.5954928994178772,0.877715659945418,0.6792910099029541,60
2,fold_24,15113,2668,8290,0.49374687086338404,0.8529275059700012,0.24579665033308196,0.9270037412643433,0.5668464446443132,0.8311533331871033,2.4850757927601244,0.5868856906890869,1.576412316863873,1.2802114486694336,19
3,fold_25,9257,1634,15180,0.6516309381260866,0.8725233674049377,0.13449789701864637,0.9735233187675476,0.6770154005019142,0.8675574660301208,0.9189726054275774,0.7391319870948792,0.9586305886146015,0.7394392490386963,39
