epoch,train_loss,train_r2,val_loss,val_r2,val_rmse,val_mae
1,3.5202497301430538,0.3070337176322937,0.9958009750489943,0.8051943778991699,0.9978982789087244,0.7979651093482971
2,1.3588610455907624,0.732507586479187,0.8425108446047677,0.8351820707321167,0.9178838949479219,0.7009734511375427
3,1.201213439785201,0.7636609077453613,0.8125222995786071,0.8410486578941345,0.9014001883617548,0.6739452481269836
4,1.1228471164045664,0.7791096568107605,0.7164400023666998,0.8598449230194092,0.8464277892216795,0.6548252105712891
5,1.082920946746037,0.7873393893241882,0.7904570826410225,0.8453651666641235,0.8890765336240871,0.695307731628418
6,0.9164828152492128,0.8198840618133545,0.7385465688775482,0.8555202484130859,0.8593873218040561,0.6634935140609741
7,0.8114749727577999,0.8405267596244812,0.6963401615546704,0.8637770414352417,0.8344699884086128,0.6202857494354248
8,0.7321695356533445,0.8561033010482788,0.7823728001978582,0.8469467163085938,0.8845184001465759,0.663503110408783
9,0.6806295066044248,0.8661327362060547,0.7390178544139046,0.8554280996322632,0.8596614766371147,0.629494309425354
10,0.6191428064272322,0.8781465291976929,0.7296472780561506,0.8572612404823303,0.8541939346870537,0.6199319362640381
11,0.5832672836451694,0.8853325843811035,0.7115425852696198,0.8608030080795288,0.843529836620863,0.6214570999145508
12,0.5222048207603652,0.8972166180610657,0.7227357378642153,0.8586133122444153,0.8501386580224518,0.6193007826805115
13,0.5066135077640928,0.9003411531448364,0.7502489963972729,0.8532309532165527,0.866169149991659,0.6497666835784912
14,0.4651332382498116,0.9090912342071533,0.7394050587347117,0.8553523421287537,0.8598866545857725,0.6494798064231873
15,0.423614195091971,0.9169191122055054,0.706092003436538,0.8618692755699158,0.8402928081547157,0.6226332783699036
16,0.39179795528280326,0.9229908585548401,0.7352073044496767,0.8561735153198242,0.8574423038605435,0.6294752359390259
17,0.37550808109086137,0.9262643456459045,0.8216620348804292,0.8392606973648071,0.9064557545078685,0.6472565531730652
18,0.3557485775700931,0.9301769137382507,0.6829829498341209,0.86639004945755,0.8264278249394322,0.5966187119483948
19,0.32609136587586895,0.9358178377151489,0.7393658760127998,0.8553600311279297,0.8598638706288337,0.6399508714675903
20,0.3104072523528132,0.9390642046928406,0.7023580259617277,0.8625997304916382,0.8380680318218371,0.6019115447998047
21,0.28481362477458755,0.9439656734466553,0.7019265963806517,0.8626841306686401,0.8378105969613011,0.605755627155304
22,0.2786877604907957,0.9451919794082642,0.7254619996725711,0.8580799698829651,0.8517405706390715,0.6092411279678345
23,0.26356914582951313,0.9481189846992493,0.6679166513090472,0.8693374395370483,0.8172616786005859,0.5851366519927979
24,0.24598783149287617,0.9515653252601624,0.7402059868470545,0.8551956415176392,0.8603522457964845,0.6250095367431641
25,0.22725519584170703,0.9552847146987915,0.681310982788791,0.8667171001434326,0.8254156424425158,0.5936591625213623
26,0.22767846774438333,0.9552308320999146,0.6927757678300398,0.8644742965698242,0.8323315251929605,0.6029394865036011
27,0.2198530783941006,0.9568014740943909,0.6516309381260866,0.8725233674049377,0.8072366060369702,0.5803004503250122
28,0.2006906953351251,0.9605845808982849,0.6733649072477838,0.8682715892791748,0.8205881471528721,0.5944528579711914
29,0.19859683341507253,0.9608890414237976,0.6712971833081987,0.8686760663986206,0.8193272748469922,0.5930567383766174
30,0.18616130948066711,0.9633792638778687,0.6941976929528039,0.8641961216926575,0.8331852692845715,0.5963748693466187
31,0.178494421110071,0.9648929834365845,0.6700691957952343,0.8689163327217102,0.8185775441552463,0.5871519446372986
32,0.169509339974872,0.9666415452957153,0.6512875875761343,0.8725905418395996,0.8070239076855991,0.5804247856140137
33,0.16302439626948587,0.9679657220840454,0.6640337468506803,0.8700970411300659,0.8148826583322781,0.5872547030448914
34,0.15525925678425823,0.9694651365280151,0.6588321156717718,0.8711146116256714,0.811684739090105,0.5877878069877625
35,0.15558691918849946,0.9694977402687073,0.6524539886081233,0.8723623156547546,0.8077462402314995,0.5841277837753296
36,0.1480398309641871,0.9709211587905884,0.6585742661973399,0.8711650371551514,0.8115258875706554,0.5812614560127258
37,0.14262345155765271,0.9720022082328796,0.662674977043997,0.8703628182411194,0.814048510252305,0.5862913131713867
38,0.1380680518931356,0.9729129672050476,0.6469989534982707,0.8734294772148132,0.8043624515715976,0.5889400839805603
39,0.13449789701864637,0.9735233187675476,0.6770154005019142,0.8675574660301208,0.8228094557684144,0.5949070453643799
