fold,fold_name,train_samples,val_samples,test_samples,best_val_loss,best_val_r2,final_train_loss,final_train_r2,final_val_loss,final_val_r2,test_loss,test_r2,test_rmse,test_mae,epochs_trained
1,fold_23,19949,3521,2601,0.620929720996964,0.8594828844070435,0.3445407144289162,0.9219650030136108,0.6256580520712223,0.8584128618240356,0.9977081104889598,0.4761318564414978,0.9988533978962878,0.7584673166275024,33
2,fold_24,15113,2668,8290,0.5148389353744988,0.8466448187828064,0.6028231496533388,0.8209471702575684,0.5653186245658051,0.8316084146499634,2.402643536198412,0.6005890369415283,1.5500463013079357,1.2933485507965088,13
3,fold_25,9257,1634,15180,0.6555849429005655,0.8717498183250427,0.42705989661200267,0.9160011410713196,0.6710114741704747,0.8687319755554199,1.527871017949226,0.5662845373153687,1.2360707981136136,0.9543154835700989,32
