fold,fold_name,train_samples,val_samples,test_samples,best_val_loss,best_val_r2,final_train_loss,final_train_r2,final_val_loss,final_val_r2,test_loss,test_r2,test_rmse,test_mae,epochs_trained
1,fold_2023,19949,3521,2601,0.5786245406198759,0.8690565824508667,0.11068263068460883,0.974955677986145,0.5774428105699647,0.8693240284919739,0.7926986967426499,0.5837764739990234,0.890336282953048,0.6815369725227356,52
2,fold_2024,15113,2668,8290,0.48359647907059766,0.8559510111808777,0.10426213063031876,0.9690156579017639,0.48076533020168233,0.8567943572998047,2.493315795103517,0.5855158567428589,1.5790236841490115,1.2689965963363647,56
3,fold_2025,9257,1634,15180,0.6530913452331701,0.8722376823425293,0.15611220395256734,0.9693105220794678,0.6579699039896961,0.8712832927703857,1.098912489398509,0.6880525946617126,1.0482902696288414,0.83216392993927,54
