image_filename,flight_id,field,frac_weed,sf_illuminorm,mean_brightness,contrast_rms
20230713_I3B_09565.jpg,20230713_I3B,I3B,0.2433862433862433,0.2737317085266113,86.17625141143799,52.06599426269531
20230713_I3B_09566.jpg,20230713_I3B,I3B,0.2762593877384164,0.2868666648864746,85.43235397338867,53.10057830810547
20230713_I3B_09567.jpg,20230713_I3B,I3B,0.2070699401980938,0.2748088836669922,88.57488059997559,52.5309944152832
20230713_I3B_09568.jpg,20230713_I3B,I3B,0.1282967738921204,0.2672314643859863,91.4011688232422,54.173377990722656
20230713_I3B_09569.jpg,20230713_I3B,I3B,0.1759311718426017,0.396061897277832,82.15060949325562,57.09609222412109
20230713_I3B_09570.jpg,20230713_I3B,I3B,0.1943188852681126,0.3983998298645019,77.67496252059937,54.247745513916016
20230713_I3B_09571.jpg,20230713_I3B,I3B,0.1462436050178709,0.3090958595275879,87.99815368652344,55.56553649902344
20230713_I3B_09572.jpg,20230713_I3B,I3B,0.0952472726423248,0.3191300960207443,93.62100076675416,57.74742889404297
20230713_I3B_09573.jpg,20230713_I3B,I3B,0.0708212154128268,0.2802125359594993,97.80403232574464,57.21296691894531
20230713_I3B_09574.jpg,20230713_I3B,I3B,0.1258082415817295,0.319400939655752,89.56180620193481,55.75600051879883
20230713_I3B_09575.jpg,20230713_I3B,I3B,0.1229691058809788,0.3050904273986816,88.35836458206177,53.73679733276367
20230713_I3B_09576.jpg,20230713_I3B,I3B,0.146410404658035,0.3199830055236816,85.08371353149414,53.5228157043457
20230713_I3B_09577.jpg,20230713_I3B,I3B,0.1082916744533732,0.3139781951904297,86.84508800506592,54.340110778808594
20230713_I3B_09578.jpg,20230713_I3B,I3B,0.0977380375300047,0.3282384872436523,85.76210594177246,53.96744537353516
20230713_I3B_09579.jpg,20230713_I3B,I3B,0.1746879945804206,0.3018484115600586,89.36246633529663,55.31132507324219
20230713_I3B_09580.jpg,20230713_I3B,I3B,0.1771123531851021,0.2998404502868652,91.1970386505127,55.11255645751953
20230713_I3B_09581.jpg,20230713_I3B,I3B,0.0452798448616254,0.2540206909179687,102.23626136779784,57.61156463623047
20230713_I3B_09582.jpg,20230713_I3B,I3B,0.2422766506651716,0.3272781372070312,90.55127573013306,56.21675109863281
20230713_I3B_09583.jpg,20230713_I3B,I3B,0.0939963791391695,0.3415521064301552,90.06554937362671,56.413944244384766
20230713_I3B_09584.jpg,20230713_I3B,I3B,0.1171664671358075,0.3006353378295898,93.75078630447388,57.307838439941406
20230713_I3B_09585.jpg,20230713_I3B,I3B,0.1690601475217399,0.2962722778320312,90.84177732467651,56.40292739868164
20230713_I3B_09586.jpg,20230713_I3B,I3B,0.187428084132074,0.339271068572998,82.06447887420654,52.96157836914063
20230713_I3B_09587.jpg,20230713_I3B,I3B,0.232099890204873,0.3467030525207519,81.46005964279175,53.231815338134766
20230713_I3B_09588.jpg,20230713_I3B,I3B,0.1779429886292625,0.2675386750882507,88.60210800170898,51.674163818359375
20230713_I3B_09589.jpg,20230713_I3B,I3B,0.1596575346465844,0.2956290245056152,91.28291606903076,56.39021301269531
20230713_I3B_09590.jpg,20230713_I3B,I3B,0.175508582976561,0.3012332916259765,93.51415681838988,58.6964111328125
20230713_I3B_09591.jpg,20230713_I3B,I3B,0.226892326739901,0.2454228401184082,97.90911102294922,55.56363296508789
20230713_I3B_09592.jpg,20230713_I3B,I3B,0.1376644006821314,0.2839999198913574,91.67004442214966,55.01749801635742
20230713_I3B_09593.jpg,20230713_I3B,I3B,0.2310194594342046,0.2602177907074884,95.33522033691406,54.894161224365234
20230713_I3B_09594.jpg,20230713_I3B,I3B,0.146786740486369,0.2883381843566894,89.69198083877563,54.31997299194336
20230713_I3B_09595.jpg,20230713_I3B,I3B,0.1000776837395667,0.3096389770507812,95.2874584197998,58.11971664428711
20230713_I3B_09596.jpg,20230713_I3B,I3B,0.0827785175321793,0.2619838714599609,95.72839879989624,56.36484146118164
