fold,fold_name,train_samples,val_samples,test_samples,best_val_loss,best_val_r2,final_train_loss,final_train_r2,final_val_loss,final_val_r2,test_loss,test_r2,test_rmse,test_mae,epochs_trained
1,fold_23,19949,3521,2601,0.6088062552896557,0.8622264266014099,0.1658011446045988,0.9624486565589905,0.6116466105102781,0.8615837097167969,1.0092404228604697,0.47007662057876587,1.004609587282776,0.763375997543335,29
2,fold_24,15113,2668,8290,0.5048203296747165,0.8496290445327759,0.23559495251645488,0.9299907088279724,0.5207785895203185,0.8448755741119385,2.2247986221773632,0.6301536560058594,1.491575885490699,1.2050069570541382,20
3,fold_25,9257,1634,15180,0.6872625304260628,0.8655528426170349,0.3645077416470631,0.9282960891723633,0.6960243846094886,0.863838791847229,0.935840996640473,0.7343435883522034,0.9673887515577556,0.7499886155128479,18
