fold,fold_name,train_samples,val_samples,test_samples,best_val_loss,best_val_r2,final_train_loss,final_train_r2,final_val_loss,final_val_r2,test_loss,test_r2,test_rmse,test_mae,epochs_trained
1,fold_2023,4421,781,2601,0.8033295473734945,0.8305376172065735,0.27968342177273997,0.9421228170394897,0.8329217856733198,0.824295163154602,1.2208653383189008,0.35895830392837524,1.1049277525335766,0.7950930595397949,25
2,fold_2024,4421,781,2601,0.4653582104723829,0.8332768678665161,0.12673634608084544,0.9560251235961914,0.4769638102697197,0.8291189670562744,2.5614829411052,0.5792192220687866,1.6004633520031628,1.327603816986084,60
3,fold_2025,4421,781,2601,0.6533185229869262,0.8410007953643799,0.29011433117010965,0.9285445809364319,0.7423373530982551,0.8193361163139343,1.2155610898145113,0.6538442373275757,1.1025248703836623,0.8551623821258545,24
