epoch,train_loss,train_r2,val_loss,val_r2,val_rmse,val_mae
1,6.136687271457782,-1.137709140777588,0.8225693846176284,0.7052993774414062,0.9069561095321143,0.693932056427002
2,1.1111786236865915,0.613174557685852,0.7286726346241833,0.738939642906189,0.8536232392713915,0.6544844508171082
3,0.9928598751267084,0.6549047231674194,0.7594195334920505,0.7279239892959595,0.8714468047402839,0.6760513186454773
4,0.9333436002405427,0.6757879853248596,0.5640262064265228,0.7979272603988647,0.7510167817209698,0.5726157426834106
5,0.849585318951298,0.704077959060669,0.5859009469364426,0.7900902032852173,0.7654416678862228,0.5829852819442749
6,0.8009804079858519,0.7213556170463562,0.5277834513275937,0.8109118938446045,0.7264870620510689,0.5529569387435913
7,0.7873950872918685,0.7278475761413574,0.7435068772788542,0.7336249947547913,0.862268448500149,0.678719699382782
8,0.7361843086403909,0.7462581992149353,0.510389389172101,0.8171436190605164,0.7144154177872291,0.538507342338562
9,0.726764037883539,0.7494206428527832,0.5956146251911085,0.7866101264953613,0.7717607305318848,0.5685669183731079
10,0.6484052469190076,0.7740172147750854,0.6041748793879178,0.7835432887077332,0.777286870716287,0.5888121724128723
11,0.6172249398643165,0.7876912355422974,0.5261999420564092,0.8114792108535767,0.7253964033936267,0.5550851225852966
12,0.6498413452570387,0.7773799300193787,0.640192967447215,0.7706391215324402,0.800120595564953,0.5867902636528015
13,0.5970381080246657,0.7939097285270691,0.6941887232619273,0.7512941360473633,0.833179886496264,0.6403198838233948
14,0.5477050606080954,0.8091391324996948,0.5664506076850598,0.7970587015151978,0.7526291302394957,0.5756129622459412
15,0.5466914554294064,0.8096955418586731,0.5831111292909263,0.7910897135734558,0.7636171352784891,0.5826339721679688
16,0.4956785779205158,0.8278719186782837,0.5033861717135286,0.8196526765823364,0.7094971259374689,0.5276138186454773
17,0.49895670109515566,0.8266125321388245,0.642447673366256,0.7698312997817993,0.8015283359721327,0.5929309725761414
18,0.500605927096854,0.8266787528991699,0.7181857925065807,0.7426967620849609,0.8474584311378233,0.6545231938362122
19,0.45552056202356767,0.8414619565010071,0.5519979237441675,0.8022366166114807,0.7429656275657491,0.5548537969589233
20,0.42092613296971904,0.8534045219421387,0.5734624657756082,0.7945465445518494,0.757273045721032,0.5650708079338074
21,0.4130413913094311,0.8559127449989319,0.4891271042266667,0.8247612714767456,0.6993762250939524,0.5244866013526917
22,0.41501591167003987,0.855653703212738,0.5459679325090938,0.8043969869613647,0.7388964288106242,0.5516440272331238
23,0.40593601388039346,0.8596559166908264,0.5198355516688314,0.8137593865394592,0.7209962216744492,0.5349574089050293
24,0.3744338555730504,0.8710901737213135,0.6192637065308653,0.7781374454498291,0.7869331016870909,0.5882882475852966
25,0.36812333403517017,0.8717222809791565,0.5178714806306988,0.8144630193710327,0.719632879064526,0.5367267727851868
26,0.33032875974401293,0.8853092789649963,0.516623244300084,0.8149102330207825,0.7187650828331076,0.5294506549835205
27,0.3269238088199561,0.8873916268348694,0.5985746397595094,0.7855496406555176,0.7736760560851741,0.5730758905410767
28,0.316319005845262,0.889869749546051,0.5123920223357278,0.816426157951355,0.7158156343191505,0.541150689125061
29,0.30867005399555614,0.8923324346542358,0.5618470324711367,0.7987079620361328,0.7495645619098709,0.5650220513343811
30,0.3090529928533293,0.8928756713867188,0.511490366484841,0.8167491555213928,0.7151855468931408,0.5417070984840393
31,0.2763567205598886,0.9036985039710999,0.5100624302208958,0.8172607421875,0.7141865514141916,0.5352150201797485
32,0.27881849819807697,0.9032725095748901,0.5345534108741335,0.8084864616394043,0.7311315961399381,0.5488406419754028
33,0.2730362835547907,0.9052534103393555,0.4849351377974094,0.8262630701065063,0.6963728439545941,0.5265610218048096
34,0.2777133082314361,0.903924822807312,0.5705131648368322,0.7956031560897827,0.7553232187857277,0.5673778057098389
35,0.25725172856728806,0.9105724096298218,0.5134252287476072,0.8160560131072998,0.7165369695609621,0.5407630205154419
36,0.23507989106847227,0.9184593558311462,0.5105978323005989,0.8170689344406128,0.7145612865952079,0.5334444642066956
37,0.2299934217719723,0.9201406240463257,0.4881386483677218,0.8251153826713562,0.6986691980957238,0.5222333669662476
38,0.22974275615361098,0.9199599027633667,0.49175587750580185,0.8238193988800049,0.7012530766462289,0.5223383903503418
39,0.21721639516327879,0.9244095087051392,0.5509028393159908,0.8026289343833923,0.7422282932602279,0.5586400032043457
40,0.19674519399891224,0.9313609600067139,0.5288386314954708,0.810533881187439,0.7272129203304015,0.543697714805603
41,0.21588812307488148,0.9254414439201355,0.5114104433912932,0.8167778253555298,0.7151296689351472,0.5358777046203613
42,0.19891137227737646,0.9310500621795654,0.5033973178393404,0.8196486830711365,0.7095049808418122,0.5302221775054932
43,0.1997865856551438,0.9310959577560425,0.5283319227750415,0.81071537733078,0.7268644459423239,0.5488881468772888
44,0.18510407150434932,0.9354853630065918,0.4833304667022561,0.8268380165100098,0.6952197254841495,0.520764172077179
45,0.18815815502362285,0.9346491098403931,0.5198246178797967,0.8137632608413696,0.720988639216872,0.5422197580337524
