fold,fold_name,test_year,metric,avg,min,min_model,max,max_model,range
1,fold_2023,2023,R2,0.4247994091775682,0.3146060109138489,ConvNeXt V2-B,0.5846060514450073,EVA-02-B,0.27000004053115845
1,fold_2023,2023,MAE,0.7865908212131925,0.6750949025154114,EVA-02-B,0.8508844375610352,ConvNeXt V2-B,0.17578953504562378
1,fold_2023,2023,RMSE,1.0428867607068204,0.8894485830399989,EVA-02-B,1.1425123192493594,ConvNeXt V2-B,0.2530637362093605
2,fold_2024,2024,R2,0.5565511385599772,0.3144230842590332,DINOv2 ViT-S/14,0.6397527456283569,EVA-02-B,0.32532966136932373
2,fold_2024,2024,MAE,1.3596553537580702,1.2054557800292969,EVA-02-B,1.742587685585022,DINOv2 ViT-S/14,0.5371319055557251
2,fold_2024,2024,RMSE,1.6359826101967552,1.4808741934748395,EVA-02-B,2.042894277139996,DINOv2 ViT-S/14,0.5620200836651563
3,fold_2025,2025,R2,0.6415962643093533,0.3176079988479614,DINOv2 ViT-B/14,0.7422600388526917,CoAtNet-2,0.4246520400047302
3,fold_2025,2025,MAE,0.8562215500407748,0.730199933052063,CoAtNet-2,1.2394365072250366,DINOv2 ViT-B/14,0.5092365741729736
3,fold_2025,2025,RMSE,1.1068498562517304,0.9513569660835862,CoAtNet-2,1.5479950929159505,DINOv2 ViT-B/14,0.5966381268323643
