epoch,train_loss,train_r2,val_loss,val_r2,val_rmse,val_mae
1,1.3791430083961609,0.6876251697540283,0.6867506714647245,0.844587504863739,0.8287042122885128,0.6457768678665161
2,1.0247224188367174,0.7679033279418945,0.7447291717919325,0.8314669132232666,0.8629769242522841,0.687346875667572
3,1.0002794155810677,0.7734489440917969,0.9152230493252469,0.7928839921951294,0.9566729061310595,0.7531762719154358
4,1.029342813595066,0.7668765187263489,0.8566121618979968,0.8061476945877075,0.9255334472065269,0.6863217949867249
5,1.0464440854721864,0.7629846334457397,0.8114429114725535,0.8163695335388184,0.9008012608075954,0.7037521004676819
6,0.9452228142723812,0.7859193086624146,0.6999564491798511,0.8415990471839905,0.8366339995361479,0.6357857584953308
7,0.9052323473866882,0.7949793338775635,0.8547007943445633,0.8065802454948425,0.9245002943993924,0.7323896884918213
8,0.8690659599774536,0.8031679391860962,0.9163820065750516,0.7926217317581177,0.9572784373289998,0.7272425889968872
9,0.8264820602182493,0.8127942085266113,0.810743642577865,0.816527783870697,0.9004130399865747,0.6643889546394348
10,0.8146632444696036,0.8155055046081543,0.767008380841139,0.8264251351356506,0.875790146576872,0.6699670553207397
11,0.771770848258553,0.8252298831939697,0.8568883284829076,0.8060852289199829,0.9256826283791371,0.7010581493377686
12,0.7648200007945706,0.82677161693573,0.7079322452539749,0.8397941589355469,0.8413870959635493,0.6450182795524597
13,0.730665284486035,0.8345584273338318,0.6744299557899014,0.847375750541687,0.8212368451244144,0.6129545569419861
14,0.7102685041588215,0.8391422033309937,0.8011028004857296,0.8187094926834106,0.8950434629031875,0.6635405421257019
15,0.6973674441206044,0.8420593738555908,0.7759160006869011,0.8244093656539917,0.8808609428774221,0.6639218926429749
16,0.6773055922942058,0.8465875387191772,0.6391149248395648,0.8553675413131714,0.7994466366428499,0.6003038883209229
17,0.6479962318060201,0.853262722492218,0.6954463917028832,0.8426197171211243,0.8339342850026513,0.6451167464256287
18,0.6434653615511793,0.854282021522522,0.7121560024422903,0.8388382792472839,0.8438933596386988,0.6197388768196106
19,0.611614621154002,0.861480712890625,0.6444573314377476,0.8541585803031921,0.8027809984284304,0.6059982180595398
20,0.5971948796018373,0.8647515177726746,0.6787580860097853,0.846396267414093,0.8238677600257127,0.635048508644104
21,0.5784072472796788,0.8689934611320496,0.620929720996964,0.8594828844070435,0.7879909396667985,0.5938523411750793
22,0.5533011675167772,0.8746872544288635,0.6965971290980575,0.8423593044281006,0.8346239447188522,0.6310163736343384
23,0.544769729627259,0.8766177296638489,0.6448780312791395,0.8540633916854858,0.8030429822115,0.5974529385566711
24,0.5288376588293716,0.8802355527877808,0.6285354518917466,0.8577616810798645,0.7928022779304728,0.5923546552658081
25,0.5058079050508804,0.8854336142539978,0.6827278502858928,0.8454979062080383,0.8262734718517186,0.6340774893760681
26,0.4834421985299471,0.890504002571106,0.6706085039857639,0.8482405543327332,0.8189068957981511,0.6040536761283875
27,0.4655651211403997,0.8945550918579102,0.6180890071666298,0.8601257801055908,0.7861863692322768,0.5802913904190063
28,0.4391660411642758,0.9005622863769531,0.6263941453621151,0.8582463264465332,0.791450658829794,0.5963562726974487
29,0.42319506115213623,0.9041579365730286,0.6274553465254095,0.8580061197280884,0.7921207903630667,0.584288477897644
30,0.3978325062593462,0.9098950624465942,0.6677908944799222,0.8488781452178955,0.8171847370576143,0.6006960272789001
31,0.3821538249157674,0.9134482741355896,0.6177595076795263,0.8602003455162048,0.7859767857128646,0.5964608788490295
32,0.3627082721151728,0.9178467988967896,0.6627097453491418,0.8500280380249023,0.8140698651523356,0.6047307252883911
33,0.3445407144289162,0.9219650030136108,0.6256580520712223,0.8584128618240356,0.7909854942230118,0.5870888233184814
