epoch,train_loss,train_r2,val_loss,val_r2,val_rmse,val_mae
1,6.801390835524466,-1.3645648956298828,0.9372819911655177,0.6642014980316162,0.9681332507281823,0.7527233958244324
2,1.05379434397935,0.6343033313751221,0.7880573614611364,0.7176640033721924,0.8877259495256047,0.6978795528411865
3,0.9118793929526953,0.6832594275474548,0.6021949541248219,0.7842525839805603,0.776012212613192,0.5926133990287781
4,0.7627675219133012,0.7362576127052307,0.6587147320431113,0.7640033960342407,0.8116124272355071,0.6366687417030334
5,0.762386631449207,0.7354030609130859,0.642487400319909,0.7698171138763428,0.8015531175910359,0.6238621473312378
6,0.685920832819887,0.7619863152503967,0.5339389892149521,0.808706521987915,0.7307112899189064,0.5534346103668213
7,0.6624426120885443,0.771246075630188,0.651092236234345,0.76673424243927,0.8069028666663324,0.6380329132080078
8,0.5742904068330565,0.800371527671814,0.5940348129342674,0.7871761322021484,0.7707365392494814,0.6022514700889587
9,0.5578436545946969,0.8061069846153259,0.5374474020224069,0.8074495792388916,0.7331080425301627,0.5669101476669312
10,0.5091061031560175,0.8232377171516418,0.5391297568584984,0.8068468570709229,0.7342545586228924,0.5414632558822632
11,0.5224109014449136,0.8187023401260376,0.5119201991225327,0.816595196723938,0.7154859880686223,0.538133442401886
12,0.4636892719389299,0.8408246040344238,0.6872548291533613,0.753778338432312,0.8290083408225525,0.6145966649055481
13,0.42799888037494804,0.8512101173400879,0.506802536919236,0.8184286952018738,0.7119006510175673,0.5345260500907898
14,0.3860078752040863,0.8659982085227966,0.6127499816283374,0.7804710865020752,0.7827834832367999,0.5842682123184204
15,0.3880543351065811,0.8651227951049805,0.5287941886581928,0.8105497360229492,0.7271823627249171,0.538333535194397
16,0.3599241947223994,0.8752022385597229,0.6581738676289133,0.7641971111297607,0.8112791551795925,0.6374077200889587
17,0.35026059638614687,0.8782452940940857,0.5280727075935173,0.8108082413673401,0.7266861135273726,0.5419096350669861
18,0.31693237654138556,0.8898974657058716,0.5378456253095717,0.8073069453239441,0.7333795915551317,0.5404266715049744
19,0.32576824186726167,0.8868261575698853,0.5192612603821919,0.8139651417732239,0.7205978492766905,0.5366780161857605
20,0.2980600376798358,0.8964149951934814,0.5205439559247216,0.8135055899620056,0.7214873220817685,0.5373369455337524
21,0.29206772993187613,0.8985154032707214,0.5114274765251541,0.8167717456817627,0.7151415779586263,0.5413082242012024
22,0.29039760660178393,0.8991060256958008,0.4972885366285962,0.8218372464179993,0.7051868806412923,0.5293106436729431
23,0.27033895173442923,0.9065431952476501,0.503706619658635,0.819537878036499,0.7097229175238988,0.5387261509895325
24,0.2554930910091538,0.9113980531692505,0.5043018051588887,0.8193246126174927,0.7101421020886515,0.52790766954422
25,0.2423537049698055,0.9161843657493591,0.4961240625869907,0.8222544193267822,0.704360747477449,0.5323728322982788
26,0.24557273003814023,0.9148168563842773,0.5140930791212563,0.8158167600631714,0.7170028445698499,0.5396839380264282
27,0.22695378760138143,0.921199381351471,0.5150484218334876,0.8154744505882263,0.7176687410173914,0.5376095175743103
28,0.22335793207053242,0.9226000905036926,0.5311421517678626,0.8097085952758789,0.7287949998235873,0.5464298725128174
29,0.22001046542118602,0.9235714673995972,0.5013696229259428,0.8203750848770142,0.7080745885328344,0.5454920530319214
30,0.21270504809028404,0.9262391924858093,0.4929832675698167,0.8233796954154968,0.7021276718445276,0.5321452617645264
31,0.206993083916739,0.9280296564102173,0.5341966964218589,0.8086142539978027,0.7308876086115148,0.5451056957244873
32,0.18574246097127453,0.9355078339576721,0.5169305058241501,0.8148001432418823,0.7189787937235355,0.5505261421203613
33,0.18775881552524085,0.9348319172859192,0.5107249252774804,0.8170233964920044,0.7146502118361684,0.5320652723312378
34,0.18657176932219133,0.9351351857185364,0.508380621328244,0.8178633451461792,0.7130081495524746,0.5407530665397644
35,0.17598228950040004,0.9388529658317566,0.48168334284756764,0.8274281024932861,0.6940341078416591,0.5189123153686523
36,0.17755505625521664,0.9383977651596069,0.5189544642475289,0.8140750527381897,0.7203849417134764,0.5457509160041809
37,0.17329011792955845,0.9398293495178223,0.4927833402736849,0.8234513401985168,0.7019852849409914,0.5276113152503967
38,0.16827048474270515,0.9414889812469482,0.4874678611869849,0.8253557085990906,0.6981889867270787,0.5295694470405579
39,0.16315799020903204,0.9433786869049072,0.48159234214302216,0.8274607062339783,0.6939685454997382,0.5236338376998901
40,0.15359756070784283,0.9468555450439453,0.4836394593749248,0.8267272710800171,0.6954419166076523,0.5236650705337524
41,0.14943909327691213,0.9481794238090515,0.524327598216439,0.8121500015258789,0.7241046873321834,0.5343972444534302
42,0.15048377328831367,0.9477012157440186,0.47766444335063196,0.8288679718971252,0.6911327248442458,0.5211530327796936
43,0.15005211602049184,0.9479694962501526,0.46830317269290456,0.8322218060493469,0.6843268025533594,0.5196225047111511
44,0.15045025543938476,0.9477570652961731,0.4753931208815373,0.8296816945075989,0.6894875784824098,0.519309937953949
45,0.14249136441451118,0.9506680369377136,0.47399880986054943,0.8301812410354614,0.6884757147935935,0.5195950269699097
46,0.14640328573190778,0.949211061000824,0.4708645952610292,0.831304132938385,0.6861957412145817,0.5166478157043457
47,0.13497550645675038,0.9531847834587097,0.4709899052309776,0.8312591910362244,0.6862870428843733,0.5158613324165344
48,0.13721255503514182,0.9523378014564514,0.4653582104723829,0.8332768678665161,0.6821716869471958,0.5132179856300354
49,0.13952327247991458,0.9517312049865723,0.4725517599095761,0.8306996822357178,0.6874240030065695,0.5156375169754028
50,0.139971240332841,0.9515197277069092,0.47633899729245754,0.8293428421020508,0.6901731647148109,0.5187647342681885
51,0.13108973818350356,0.9544205665588379,0.4743935736361295,0.8300397992134094,0.6887623491714174,0.5164415240287781
52,0.13121096921634157,0.9544455409049988,0.4802846593756071,0.8279291987419128,0.6930257277876537,0.5201489329338074
53,0.12948604576316552,0.9550186395645142,0.4760345480429836,0.8294519186019897,0.6899525694154517,0.5187422633171082
54,0.13000342497326406,0.9548075795173645,0.47420434069923495,0.830107569694519,0.6886249637496704,0.5156124830245972
55,0.13423487318121569,0.9535367488861084,0.4709194821333,0.8312844634056091,0.6862357336464635,0.5155524611473083
56,0.12709539926977365,0.9558910131454468,0.4715012273013058,0.8310760259628296,0.6866594696800633,0.5170592069625854
57,0.1270426650555125,0.955893874168396,0.4795484617447884,0.828192949295044,0.692494376688207,0.5200238823890686
58,0.13091340322141612,0.9545325040817261,0.4734340404922312,0.8303835391998291,0.6880654332926711,0.5174243450164795
59,0.12806147086813993,0.9555568695068359,0.4776502566056734,0.8288730382919312,0.6911224613667779,0.5185396671295166
60,0.12673634608084544,0.9560251235961914,0.4769638102697197,0.8291189670562744,0.690625665805811,0.5183120965957642
